,link,text,user,date,is-retweet,is-pinned,external-link,replying-to,quoted-post,stats,pictures,videos,gifs
0,https://twitter.com/CommBank/status/1736555274499195004#m,"When shopping online, do you look for discounts, cashback and offers before making a purchase?","{'name': 'CommBank', 'username': '@CommBank', 'profile_id': '1692019179497676800', 'avatar': 'https://pbs.twimg.com/profile_images/1692019179497676800/hJpBvPju_bigger.jpg'}","Dec 18, 2023 · 1:13 AM UTC",FALSE,TRUE,,[],{},"{'comments': 70, 'retweets': 1, 'quotes': 0, 'likes': 10}",[],[],[]
1,https://twitter.com/CommBank/status/1790554281176920354#m,"We’ve read the Federal #Budget2024 so you don’t have to. Here’s everything you need to know from our Chief Economist, Stephen Halmarick  👇","{'name': 'CommBank', 'username': '@CommBank', 'profile_id': '1692019179497676800', 'avatar': 'https://pbs.twimg.com/profile_images/1692019179497676800/hJpBvPju_bigger.jpg'}","May 15, 2024 · 1:26 AM UTC",FALSE,FALSE,,[],{},"{'comments': 7, 'retweets': 0, 'quotes': 2, 'likes': 7}",[],['https://video.twimg.com/ext_tw_video/1790554127791161344/pu/vid/avc1/720x1280/IAynsD_NKwigAuVg.mp4?tag=12'],[]
2,https://twitter.com/CommBank/status/1790514933656179140#m,We’ve read the Federal #Budget2024 so you don’t have to. Here’s everything you need to know 👇 commbank.com.au/federalbudge…,"{'name': 'CommBank', 'username': '@CommBank', 'profile_id': '1692019179497676800', 'avatar': 'https://pbs.twimg.com/profile_images/1692019179497676800/hJpBvPju_bigger.jpg'}","May 14, 2024 · 10:50 PM UTC",FALSE,FALSE,http://www.commbank.com.au/federalbudget,[],{},"{'comments': 2, 'retweets': 1, 'quotes': 0, 'likes': 6}",[],[],[]
3,https://twitter.com/CommBank/status/1786282509795225820#m,Heads Up! We’re running scheduled maintenance this weekend to make some improvements. The CommBank app and NetBank won’t be available between 12:00am and 8:00am AEST on Saturday 4 May 2024. Cardless Cash won't be available from 11:20pm AEST on Friday 3 May 2024.,"{'name': 'CommBank', 'username': '@CommBank', 'profile_id': '1692019179497676800', 'avatar': 'https://pbs.twimg.com/profile_images/1692019179497676800/hJpBvPju_bigger.jpg'}","May 3, 2024 · 6:31 AM UTC",FALSE,FALSE,,[],{},"{'comments': 16, 'retweets': 4, 'quotes': 1, 'likes': 17}",[],[],[]
4,https://twitter.com/CommBank/status/1783228336661057901#m,"At the going down of the sun and in the morning, we will remember them. Lest we forget.","{'name': 'CommBank', 'username': '@CommBank', 'profile_id': '1692019179497676800', 'avatar': 'https://pbs.twimg.com/profile_images/1692019179497676800/hJpBvPju_bigger.jpg'}","Apr 24, 2024 · 8:15 PM UTC",FALSE,FALSE,,[],{},"{'comments': 5, 'retweets': 8, 'quotes': 0, 'likes': 50}",[],[],[]
5,https://twitter.com/CommBank/status/1776743288823001295#m,Just a little ‘light’ humour to start the day.,"{'name': 'CommBank', 'username': '@CommBank', 'profile_id': '1692019179497676800', 'avatar': 'https://pbs.twimg.com/profile_images/1692019179497676800/hJpBvPju_bigger.jpg'}","Apr 6, 2024 · 10:46 PM UTC",FALSE,FALSE,,[],{},"{'comments': 5, 'retweets': 2, 'quotes': 0, 'likes': 14}",[],[],[]
6,https://twitter.com/CommBank/status/1776743287229124641#m,Petition to call it daylight spending when we lose an hour and daylight savings when we gain an hour.,"{'name': 'CommBank', 'username': '@CommBank', 'profile_id': '1692019179497676800', 'avatar': 'https://pbs.twimg.com/profile_images/1692019179497676800/hJpBvPju_bigger.jpg'}","Apr 6, 2024 · 10:46 PM UTC",FALSE,FALSE,,[],{},"{'comments': 21, 'retweets': 7, 'quotes': 5, 'likes': 39}",[],[],[]
7,https://twitter.com/CommBank/status/1775392501626737008#m,Find the full list of recipients plus information on the next round of grants here: https://www.footballaustralia.com.au/community-grants,"{'name': 'CommBank', 'username': '@CommBank', 'profile_id': '1692019179497676800', 'avatar': 'https://pbs.twimg.com/profile_images/1692019179497676800/hJpBvPju_bigger.jpg'}","Apr 3, 2024 · 5:18 AM UTC",FALSE,FALSE,,[],{},"{'comments': 2, 'retweets': 1, 'quotes': 0, 'likes': 3}",[],[],[]
8,https://twitter.com/CommBank/status/1775392499911270522#m,"We know that grassroots sport is the cornerstone of many communities, and the fund is all part of our commitment to support women’s football, helping develop the CommBank @TheMatildas of tomorrow.","{'name': 'CommBank', 'username': '@CommBank', 'profile_id': '1692019179497676800', 'avatar': 'https://pbs.twimg.com/profile_images/1692019179497676800/hJpBvPju_bigger.jpg'}","Apr 3, 2024 · 5:18 AM UTC",FALSE,FALSE,,[],{},"{'comments': 1, 'retweets': 2, 'quotes': 1, 'likes': 7}",[],[],[]
9,https://twitter.com/CommBank/status/1775392496685912321#m,"Say hello to the first recipients of the Growing Football Fund 👋 In partnership with @FootballAUS, we recently announced the 121 amazing clubs and associations who would receive funding to help drive participation and remove financial barriers to help more girls into the game.","{'name': 'CommBank', 'username': '@CommBank', 'profile_id': '1692019179497676800', 'avatar': 'https://pbs.twimg.com/profile_images/1692019179497676800/hJpBvPju_bigger.jpg'}","Apr 3, 2024 · 5:18 AM UTC",FALSE,FALSE,,[],{},"{'comments': 10, 'retweets': 4, 'quotes': 1, 'likes': 18}","['https://pbs.twimg.com/media/GKNb9JRaQAAlvAW.jpg', 'https://pbs.twimg.com/media/GKNbiXMbQAAdgED.jpg']",[],[]
